# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
mquintar,Quintar,Manuel,JUJUY,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1982-01-18,44,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20286470298_20231212100502000_small.png,2026-02-17
arauschenberger,Rauschenberger,Ariel,LA PAMPA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1966-04-23,60,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20173488956_20231207102606000_small.png,2026-02-17
vravera,Ravera,Valentina,SANTA FE,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,2000-10-20,25,F,Estudiante de Derecho,Estudiante,https://parlamentaria.hcdn.gob.ar/image/27421829816_20251126135634000_small.png,2026-02-17
aravier,Ravier,Adrián,LA PAMPA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1978-11-29,47,M,Dr. en Economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20270502661_20251126140339000_small.png,2026-02-17
vrazzini,Razzini,Verónica,SANTA FE,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1980-02-14,46,F,Empresaria,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27280877188_20231206151457000_small.png,2026-02-17
kreichardt,Reichardt,Karen,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1969-05-21,57,F,PRODUCTORA - CONDUCTORA DE TV,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27208314128_20251126140748000_small.png,2026-02-17
griesco,Riesco,Gastón,NEUQUEN,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1987-07-04,38,M,Martillero,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20328293162_20251126141016000_small.png,2026-02-17
critondo,Ritondo,Cristian A.,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PRO,1966-07-27,59,M,Empresario de la Construcción,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20178562038_20200206125410_small.png,2026-02-17
jrizzotti,Rizzotti,Jorge,JUJUY,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1962-02-02,64,M,CONTADOR,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20147877596_20231129151608000_small.png,2026-02-17
sroberto,Roberto,Santiago Luis,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1972-08-28,53,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20228130770_20251126141452000_small.png,2026-02-17
groca,Roca,Gonzalo,CORDOBA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1979-01-29,47,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20270799044_20251126141757000_small.png,2026-02-17
lurodriguez,Rodríguez,Miguel,TIERRA DEL FUEGO,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1986-06-21,39,M,Empresario,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20327299264_20251126142417000_small.png,2026-02-17
lrodriguezm,Rodríguez Machado,Laura Elena,CORDOBA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1962-04-09,64,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27148917987_20251201132523000_small.png,2026-02-17
arossi,Rossi,Agustín Oscar,SANTA FE,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1959-10-18,66,M,Ingeniero Civil,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/20136518772_20251204154656000_small.png,2026-02-17
yruiz,Ruíz,Yamila,MISIONES,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1991-10-13,34,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27364093786_20231206151604000_small.png,2026-02-17
msalzmann,Salzmann,Marina Dorotea,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1990-05-13,36,F,Politologa,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27352538626_20251126143421000_small.png,2026-02-17
nsandg,Sand,Nancy,CORRIENTES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1964-01-04,62,F,Docente/Abogada,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27165495239_20231128104737000_small.png,2026-02-17
csantillanj,Santillán Juárez Brahim,Juliana,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1979-06-17,46,F,Diplomatura en Economía Austriaca,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27273796229_20231128102511000_small.png,2026-02-17
ssanturior,Santurio,Santiago,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1988-01-09,38,M,Profesor,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20334340660_20231220212146000_small.png,2026-02-17
gscaglia,Scaglia,Gisela,SANTA FE,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1976-10-22,49,F,Licenciada en Ciencias Políticas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27254532164_20251126150327000_small.png,2026-02-17
jschiaretti,Schiaretti,Juan,CORDOBA,2025-2029,2026-02-12,2029-12-09,PROVINCIAS UNIDAS,1949-06-19,76,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20077998412_20260211164128000_small.png,2026-02-17
aschneider,Schneider,Darío,ENTRE RIOS,2025-2029,2025-12-10,2029-12-09,UCR - UNIÓN CÍVICA RADICAL,1965-05-08,61,M,Arquitecto,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/20169551139_20251126151156000_small.png,2026-02-17
sselva,Selva,Sabrina,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1986-12-29,39,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27326867476_20250609144435000_small.png,2026-02-17
aserquis,Serquis,Adriana Cristina,RIO NEGRO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1967-11-07,58,F,Dra. en Física,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/27184140115_20251204155243000_small.png,2026-02-17
vsiley,Siley,Vanesa Raquel,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1984-08-19,41,F,abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27311140693_20251127081950000_small.png,2026-02-17
gsnopek,Snopek,Guillermo,JUJUY,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1975-01-11,51,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20243992371_20231128095550000_small.png,2026-02-17
lsoldano,Soldano,Laura,CORDOBA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1980-09-22,45,F,Empresaria,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27282719938_20251126153213000_small.png,2026-02-17
jstrada,Strada,Julia,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1989-05-26,36,F,Doctora en Desarrollo Económico,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27344084039_20231128095848000_small.png,2026-02-17
jsanchezw,Sánchez Wrba,Javier,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PRO,1984-01-07,42,M,Lic. en Ciencias Politicas y Relaciones Internacionales,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20304639335_20251204154911000_small.png,2026-02-17
jtaiana,Taiana,Jorge,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1950-05-31,75,M,Sociólogo,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/23083626739_20251127155233000_small.png,2026-02-17
ltailhade,Tailhade,Rodolfo,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1970-08-18,55,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20213862996_20200206125321_small.png,2026-02-17
ctepp,Tepp,Caren,SANTA FE,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1986-11-26,39,F,Técnica en Ciencias Políticas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27327025533_20251126153919000_small.png,2026-02-17
ptita,Tita,Paulo Agustín,TIERRA DEL FUEGO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1976-01-15,50,M,Lic. en Administración,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20250816031_20251202135647000_small.png,2026-02-17
ptodero,Todero,Pablo,NEUQUEN,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1972-02-07,54,M,Fecha de Nac.: 07/02/1972,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20225253324_20231128101514000_small.png,2026-02-17
vtolosap,Tolosa Paz,Victoria,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1973-06-24,52,F,CONTADORA PUBLICA,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27234850666_20231212100552000_small.png,2026-02-17
ytomassoni,Tomassoni,Yamile,SANTA FE,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1978-05-27,47,F,Profesora,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27267199049_20251211120125000_small.png,2026-02-17
ltorres,Torres,Alejandra,CORDOBA,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1960-12-12,65,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27142911502_20231206151657000_small.png,2026-02-17
rdtorres,Torres,Rubén Darío,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1976-12-18,49,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20255454995_20251201151659000_small.png,2026-02-17
atortoriello,Tortoriello,Aníbal,RIO NEGRO,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1958-12-24,67,M,Empresario,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20129790351_20240202135114000_small.png,2026-02-17
jtournier,Tournier,José Federico,CORRIENTES,2023-2027,2024-08-14,2027-12-09,LA LIBERTAD AVANZA,1975-05-10,51,M,Comerciante,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20244166246_20240814152633000_small.png,2026-02-17
ctreffinger,Treffinger,César,CHUBUT,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1975-08-14,50,M,Emprendedor,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20242671652_20231206151800000_small.png,2026-02-17
ntrotta,Trotta,Nicolás Alfredo,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1976-01-20,50,M,ABOGADO,Derecho,https://parlamentaria.hcdn.gob.ar/image/20249577163_20251126094055000_small.png,2026-02-17
hurien,Urien,Hernán,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1988-11-09,37,M,Empleado Público,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20341556253_20251126154824000_small.png,2026-02-17
evaldes,Valdés,Eduardo Félix,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1956-02-16,70,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20116408997_20231205095438000_small.png,2026-02-17
dvancsik,Vancsik,Daniel,MISIONES,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1977-01-07,49,M,Deportista,Artes y Cultura,https://parlamentaria.hcdn.gob.ar/image/20245096152_20231128095424000_small.png,2026-02-17
yvega,Vega,Yolanda,SALTA,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1967-07-20,58,F,Productora agropecuaria-Intendenta Municipal,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/27182307349_20231128103453000_small.png,2026-02-17
mevelazquez,Velázquez,M. Elena,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1968-09-18,57,F,Comerciante y administrativa,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27204775708_20251127075732000_small.png,2026-02-17
avera,Vera,Andrea Fernanda,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1994-07-16,31,M,Médica,Salud,https://parlamentaria.hcdn.gob.ar/image/27386299175_20251126155353000_small.png,2026-02-17
pverasay,Verasay,Pamela Fernanda,MENDOZA,2025-2029,2025-12-10,2029-12-09,UCR - UNIÓN CÍVICA RADICAL,1980-04-26,46,F,Contadora Pública Nacional y Perito Partidora,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27281591954_20251211094515000_small.png,2026-02-17
lvillaverde,Villaverde,Lorena,RIO NEGRO,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1974-02-18,52,F,Empresaria,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/23238322464_20231128105805000_small.png,2026-02-17
gvisconti,Visconti,Gino,LA RIOJA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1993-12-14,32,M,Licenciado en Administración - Maestría en Business Administration,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20379994580_20251127080438000_small.png,2026-02-17
lvolnovich,Volnovich,Luana,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1979-09-26,46,F,Licenciada en Ciencias Políticas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27188873559_20231205095034000_small.png,2026-02-17
pvasquez,Vásquez,Patricia,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1958-12-02,67,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27120466483_20231128103226000_small.png,2026-02-17
hyasky,Yasky,Hugo,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1949-10-10,76,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/23082070699_20200206125341_small.png,2026-02-17
pyedlin,Yedlin,Pablo Raúl,TUCUMAN,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1966-07-16,59,M,Médico,Salud,https://parlamentaria.hcdn.gob.ar/image/20176149923_20231128100642000_small.png,2026-02-17
myeza,Yeza,Martín,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PRO,1986-01-03,40,M,Fecha de Nac.: 03/01/1986,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20319778110_20231128103139000_small.png,2026-02-17
ozago,Zago,Oscar,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,1963-11-13,62,M,Fecha de Nac.: 13/11/1963,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/23165838009_20231129153517000_small.png,2026-02-17
czapata,Zapata,Carlos Raúl,SALTA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1957-01-30,69,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20127901628_20251127080650000_small.png,2026-02-17
nzaracho,Zaracho,Natalia,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1989-07-05,36,F,Trabajadora de la Economía Popular,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/27354613285_20251021154732000_small.png,2026-02-17
mzigaran,Zigarán,María Inés,JUJUY,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1970-01-16,56,F,Técnica en Comunicación Social,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27213201617_20251127081237000_small.png,2026-02-17
czulli,Zulli,Christian Alejandro,CORRIENTES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1987-04-24,39,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/23332030159_20231130155355000_small.png,2026-02-17
fdeandreis,de Andreis,Fernando,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PRO,1976-01-10,50,M,Licenciado en administración,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20249775461_20251127113216000_small.png,2026-02-17
mdelarosa,de la Rosa,María Graciela,FORMOSA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1955-07-22,70,F,Economista,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/23113647604_20251126100940000_small.png,2026-02-17
ndelasota,de la Sota,Natalia,CORDOBA,2025-2029,2025-12-10,2029-12-09,DEFENDAMOS CÓRDOBA,1975-09-14,50,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27248854265_20211216102711000_small.png,2026-02-17
ndelcano,del Caño,Nicolás,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,1980-02-06,46,M,Diputado,Servicios Públicos / Funcionario,https://parlamentaria.hcdn.gob.ar/image/20279217714_20251204140140000_small.png,2026-02-17
caalvarez,Álvarez,Claudio,SAN LUIS,2023-2027,2025-12-10,2027-12-09,INNOVACIÓN FEDERAL,1976-07-30,49,M,Gastronómico,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20254305759_20251127110943000_small.png,2026-02-17
