# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
gbordet,Bordet,Gustavo,ENTRE RIOS,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1962-02-21,64,M,Contador público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20149980548_20231128110939000_small.png,2026-02-17
aborgatta,Borgatta,Alejandrina,SANTA FE,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1984-02-10,42,F,Licenciada en Ciencia Política,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27307017496_20251201094658000_small.png,2026-02-17
gbornoroni,Bornoroni,Gabriel,CORDOBA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1978-06-17,47,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20266723181_20231129150958000_small.png,2026-02-17
mbregman,Bregman,Myriam,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,1972-02-25,54,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27226005531_20251127152919000_small.png,2026-02-17
cabrizuela,Brizuela,Adrián,CATAMARCA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1972-08-26,53,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20229354036_20251127111925000_small.png,2026-02-17
ebruno,Bruno,Eliana,SALTA,2023-2027,2025-12-10,2027-12-09,LA LIBERTAD AVANZA,1988-08-31,37,F,Gestora de RRHH,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27337541599_20251204135612000_small.png,2026-02-17
jbrugge,Brügge,Juan Fernando,CORDOBA,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1962-06-24,63,M,abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20161572749_20231128095743000_small.png,2026-02-17
scafiero,Cafiero,Santiago,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1979-08-30,46,M,Licenciado en Ciencias Políticas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20273754041_20231218134818000_small.png,2026-02-17
mcampero,Campero,Mariano,TUCUMAN,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1983-04-22,43,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20301177314_20231128100341000_small.png,2026-02-17
ccampitelli,Campitelli,Celia,SANTIAGO DEL ESTERO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1949-06-09,76,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27051354805_20231130154636000_small.png,2026-02-17
